__quarterly__,y,y_tnd,y_gap,ad_y,d4_y,ad_y_tnd,d4_y_tnd,cpi,ad_cpi,d4_cpi,ad_cpi_ste,rs,rs_unc,mpr,rrs,rrs_tnd,rrs_gap,obs_y,obs_rs,obs_cpi,shk_ad_y_tnd,shk_y_gap,shk_ad_cpi,shk_ad_cpi_ste,shk_rs,shk_rrs_tnd,ant_shk_ad_y_tnd,ant_shk_y_gap,ant_shk_ad_cpi,ant_shk_ad_cpi_ste,ant_shk_rs,ant_shk_rrs_tnd,shk_obs_y,shk_obs_cpi,shk_obs_rs,filter_span,,__unknown__,obs_ad_y,obs_y_gap,obs_ad_cpi,std_shk_ad_y_tnd,std_shk_y_gap,std_shk_ad_cpi,std_shk_ad_cpi_ste,std_shk_rs,std_shk_rrs_tnd,std_shk_obs_y,std_shk_obs_cpi,std_shk_obs_rs,
2015-Q1,983.449223461761,983.320769758637,0.128453703124,3.585819150757,3.892547244722,2.672236260841,3.221662622309,546.10950125758,-2.597540062089,-0.112956935512,-2.059496252278,0.026666666667,0.026666666667,-14.81066468924,2.081049317637,-0.601769237191,2.682818554827,983.449223461761,0.026666666667,546.10950125758,-0.37006158862,0.471692073122,-1.136355846237,-0.005113601308,3.211832838977,-0.00114989097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2015-Q2,984.066718120015,983.761314177945,0.30540394207,2.469978633004,3.226472880061,1.762177677223,2.813220863184,546.789135051949,2.71853517747,0.03700324418,2.78804623493,0.02,0.02,2.975272685586,-2.755167140378,-0.586646500653,-2.168520639726,984.066718120015,0.02,546.789135051949,-0.851446770577,-0.007788399247,2.862021011694,0.012879094553,-1.243818171397,-0.014965725321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2015-Q3,984.466164331584,984.220299712403,0.245864619181,1.597784846264,2.417854259051,1.835942137821,2.348456874096,547.166124430964,1.507957516053,0.158485306659,1.665339203521,0.04,0.04,-1.106008990614,-1.62876472023,-0.59828382514,-1.03048089509,984.466164331584,0.04,547.166124430964,0.086873344459,-0.086236426882,-0.761225935059,-0.003425516708,-0.198497752347,-0.04096964952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2015-Q4,984.650473504294,984.635707187754,0.014766316541,0.737236690829,2.097704830219,1.66162990139,1.982996494322,547.15855650886,-0.03027168842,0.399670235753,0.216923515202,0.123333333333,0.123333333333,-6.475768737637,-0.09790451428,-0.600244609356,0.502340095076,984.650473504294,0.123333333333,547.15855650886,-0.15751512954,-0.119398138339,-0.958740535744,-0.004314332411,1.212275517742,-0.031874975472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2016-Q1,985.228320156142,985.049337373797,0.178982782345,2.31138660738,1.779096694374,1.654520744163,1.728567615153,547.09644988676,-0.248426488405,0.986948629174,0.057789042028,0.286666666667,0.286666666667,-7.056842011732,0.227637062808,-0.594867504591,0.822504567398,985.228320156142,0.286666666667,547.09644988676,0.000972337842,0.250158501678,-0.27568040692,-0.001240561831,1.4583771696,-0.024635125703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2016-Q2,985.548929722409,985.422864277108,0.126065445301,1.282438265055,1.482211602387,1.494107613234,1.661550099156,547.893052040794,3.18640861613,1.103916988839,3.145140314219,0.256666666667,0.256666666667,4.246861622382,-2.879945591808,-0.600865898292,-2.279079693516,985.548929722409,0.256666666667,547.893052040794,-0.152687093722,-0.236079610811,1.895123498824,0.008528055745,-1.520048738929,-0.035741768931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2016-Q3,986.255815641519,985.97529431655,0.280521324969,2.827543676428,1.789651309928,2.209720157756,1.75499460414,548.316628243326,1.694304810121,1.150503812356,1.82631074022,0.296666666667,0.296666666667,-0.533116961944,-1.533730577078,-0.615875961938,-0.917854615141,986.255815641519,0.296666666667,548.316628243326,0.715317925184,0.094186779478,-0.908111894347,-0.004086503525,-0.262554092848,-0.04505335856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2016-Q4,986.80858417014,986.534556256349,0.274027913791,2.211074114473,2.158110665839,2.237047759187,1.898849068589,548.949404521174,2.531105111388,1.790848012308,2.575710000317,0.43,0.43,2.184113308472,-2.143852557033,-0.624634353914,-1.519218203119,986.80858417014,0.43,548.949404521174,0.062813609318,-0.088284900249,0.4127651743,0.001857443284,-0.838528327119,-0.039552190073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2017-Q1,987.294292903244,987.142707499652,0.151585403592,1.942834932404,2.065972747095,2.432604973199,2.093370125848,549.650680441684,2.805103682038,2.554230554919,2.780549944535,0.59,0.59,2.902835015974,-2.189890290186,-0.633668237931,-1.556222052256,987.294292903244,0.59,549.650680441684,0.232409601971,-0.209557736978,0.146589855374,0.000659654349,-0.958208753994,-0.040265601712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2017-Q2,987.852604004542,987.846900090668,0.005703913873,2.23324440518,2.303674282126,2.816770364055,2.424035813553,549.765990767629,0.461241303774,1.87293872683,0.61199547342,0.89,0.89,-5.097289146371,0.271895623239,-0.636264765232,0.90816038847,987.852604004542,0.89,549.765990767629,0.430795639515,-0.017169099975,-1.357534075773,-0.006108903341,1.221822286592,-0.034279939197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
